,Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
84,Mercedes ,EQV 300 Long,10.0,140.0,330.0,273.0,290.0,Front Wheel Drive,Type 2 CCS,SPV,N,7,70631
85,Fiat ,500e Hatchback,9.0,150.0,250.0,168.0,330.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,34900
86,Tesla ,Cybertruck Single Motor,7.0,180.0,390.0,256.0,740.0,Rear Wheel Drive,Type 2 CCS,Pickup,N,6,45000
87,Audi ,e-tron Sportback 50 quattro,6.8,190.0,295.0,219.0,470.0,All Wheel Drive,Type 2 CCS,SUV,E,5,69551
88,Skoda ,Enyaq iV vRS,6.2,180.0,400.0,193.0,540.0,All Wheel Drive,Type 2 CCS,SUV,C,5,47500
89,Skoda ,Enyaq iV 60,9.0,160.0,320.0,181.0,440.0,Rear Wheel Drive,Type 2 CCS,SUV,C,5,37500
90,Audi ,e-tron S 55 quattro,4.5,210.0,320.0,270.0,510.0,All Wheel Drive,Type 2 CCS,SUV,E,5,93800
92,Kia ,e-Soul 64 kWh,7.9,167.0,365.0,175.0,320.0,Front Wheel Drive,Type 2 CCS,SUV,B,5,36837
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,200.0,420.0,207.0,500.0,All Wheel Drive,Type 2 CCS,Hatchback,C,5,57500
94,Fiat ,500e Convertible,9.0,150.0,250.0,168.0,330.0,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,37900
95,Volkswagen ,ID.3 Pro Performance,7.3,160.0,340.0,171.0,470.0,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,35575
96,Kia ,e-Soul 39 kWh,9.9,157.0,230.0,170.0,220.0,Front Wheel Drive,Type 2 CCS,SUV,B,5,33133
97,Byton ,M-Byte 72 kWh 2WD,7.5,190.0,325.0,222.0,420.0,Rear Wheel Drive,Type 2 CCS,SUV,E,5,53500
98,Nissan ,Ariya 63kWh,7.5,160.0,330.0,191.0,440.0,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,45000
99,Audi ,e-tron S Sportback 55 quattro,4.5,210.0,335.0,258.0,540.0,All Wheel Drive,Type 2 CCS,SUV,E,5,96050
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,200.0,325.0,194.0,440.0,All Wheel Drive,Type 2 CCS,Hatchback,C,5,50000
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200.0,375.0,232.0,450.0,All Wheel Drive,Type 2 CCS,Hatchback,C,5,65000
102,Byton ,M-Byte 95 kWh 2WD,7.5,190.0,400.0,238.0,480.0,All Wheel Drive,Type 2 CCS,SUV,E,5,62000
